City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
276,Kavaratti,IN,2021-10-26 00:50:51,10.5669,72.642,81.91,72,100,12.5
277,Safaga,EG,2021-10-26 00:54:04,26.7292,33.9365,69.75,51,0,13.09
278,Cidreira,BR,2021-10-26 00:54:05,-30.1811,-50.2056,64.8,80,0,9.31
279,Hasaki,JP,2021-10-26 00:54:05,35.7333,140.8333,61.29,85,100,34.56
280,Ariquemes,BR,2021-10-26 00:54:05,-9.9133,-63.0408,73.71,95,100,3.96
281,Lagoa,PT,2021-10-26 00:54:05,39.05,-27.9833,67.08,73,0,11.52
282,Airai,TL,2021-10-26 00:54:06,-8.9266,125.4092,75.97,34,67,2.62
283,Skjervoy,NO,2021-10-26 00:54:06,70.0311,20.9714,32.36,72,93,15.88
284,San Cristobal,VE,2021-10-26 00:54:06,7.7669,-72.225,71.78,98,66,2.68
285,Svetlyy,RU,2021-10-26 00:54:07,54.675,20.1347,39.25,69,100,12.03
286,Dalvik,IS,2021-10-26 00:51:34,65.9702,-18.5286,26.53,76,30,5.75
287,Coban,GT,2021-10-26 00:52:06,15.4833,-90.3667,64.65,98,85,1.97
288,Itoman,JP,2021-10-26 00:49:14,26.1247,127.6694,77.02,58,20,14.97
289,Pevek,RU,2021-10-26 00:54:08,69.7008,170.3133,1.51,93,100,3.71
290,Fujin,CN,2021-10-26 00:54:08,47.26,132.0322,52.36,49,66,9.28
291,Saryg-Sep,RU,2021-10-26 00:54:09,51.5,95.6,31.03,71,18,3.15
292,Savannah Bight,HN,2021-10-26 00:54:09,16.45,-85.85,86.05,84,9,24.85
